クリス・アーノルド,アーノルド,クリス
植松優友,ウエマツ マサトモ,ウエマツ,マサトモ
上村和裕,ウエムラ カズヒロ,ウエムラ,カズヒロ
植村祐介,ウエムラ ユウスケ,ウエムラ,ユウスケ
植村義信,ウエムラ ヨシノブ,ウエムラ,ヨシノブ
上本孝一,ウエモト コウイチ,ウエモト,コウイチ
上本崇司,ウエモト タカシ,ウエモト,タカシ
上本達之,ウエモト タツユキ,ウエモト,タツユキ
上本博紀,ウエモト ヒロキ,ウエモト,ヒロキ
上山勲,ウエヤマ イサオ,ウエヤマ,イサオ
ブーマー・ウェルズ,ブーマー・ウェルズ ,ウェルズ,ブーマー
魚満芳,ウオ ミツヨシ,ウオ,ミツヨシ
ピート・ウォーカー,ウォーカー,ピート
レス・ウォーランド,ウォーランド,レス
リー・ウォールス,ウォールス,リー
ブライアン・ウォーレン,ウォーレン,ブライアン
ボブ・ウォルコット,ウォルコット,ボブ
ダニー・ウォルトン,ウォルトン,ダニー
鵜飼昭雪,ウカイ アキユキ,ウカイ,アキユキ
鵜飼克雄,ウカイ カツオ,ウカイ,カツオ
鵜飼勉,ウカイ ツトム,ウカイ,ツトム
鵜飼勝美（鵜飼勝助）,ウガイ カツミ,ウガイ カツスケ,ウガイ,カツミ,カツスケ
鵜狩道夫（鵜狩好応・鵜狩道旺）,ウガリ ミチオ,ウガリ ヨシオ,ウガリ,ミチオ,ヨシオ
浮洲重紀,ウキス シゲキ,ウキス,シゲキ
浮田逸郎,ウキタ イチロウ,ウキタ,イチロウ
鵜久森淳志,ウグモリ アツシ,ウグモリ,アツシ
宇佐美一夫,ウサミ カズオ,ウサミ,カズオ
宇佐美和雄,ウサミ カズオ,ウサミ,カズオ
宇佐見真吾,ウサミ シンゴ,ウサミ,シンゴ
宇佐美敏晴,ウサミ トシハル,ウサミ,トシハル
宇佐美康広,ウサミ ヤスヒロ,ウサミ,ヤスヒロ
宇佐見塁大,ウサミ ルイタ,ウサミ,ルイタ
鵜沢達雄,ウザワ タツオ,ウザワ,タツオ
氏家雅行,ウジイエ マサユキ,ウジイエ,マサユキ
牛島和彦,ウシジマ カズヒコ,ウシジマ,カズヒコ
牛田成樹,ウシダ シゲキ,ウシダ,シゲキ
丑山努,ウシヤマ ツトム,ウシヤマ,ツトム
宇田東植,ウダ トウショク,ウダ,トウショク
宇田靖,ウダ ヤスシ,ウダ,ヤスシ
宇高伸次,ウダカ シンジ,ウダカ,シンジ
内竜也,ウチ タツヤ,ウチ,タツヤ
内尾勇,ウチオ イサム,ウチオ,イサム
内川聖一,ウチカワ セイイチ,ウチカワ,セイイチ
打越敏彦,ウチコシ トシヒコ,ウチコシ,トシヒコ
内薗直樹,ウチゾノ ナオキ,ウチゾノ,ナオキ
内田和也,ウチダ カズヤ,ウチダ,カズヤ
内田圭一,ウチダ ケイイチ,ウチダ,ケイイチ
内田好治,ウチダ コウジ,ウチダ,コウジ
内田順三,ウチダ ジュンゾウ,ウチダ,ジュンゾウ
内田昌三,ウチダ ショウゾウ,ウチダ,ショウゾウ
内田蒼生也,ウチダ ソウヤ,ウチダ,ソウヤ
内田強,ウチダ ツヨシ,ウチダ,ツヨシ
内田照文,ウチダ テルフミ,ウチダ,テルフミ
内田直二,ウチダ ナオジ,ウチダ,ナオジ
内田大孝,ウチダ ヒロタカ,ウチダ,ヒロタカ
内田靖人,ウチダ ヤスヒト,ウチダ,ヤスヒト
内之倉隆志,ウチノクラ タカシ,ウチノクラ,タカシ
内堀保,ウチボリ タモツ,ウチボリ,タモツ
内村賢介,ウチムラ ケンスケ,ウチムラ,ケンスケ
内山和巳,ウチヤマ カズミ,ウチヤマ,カズミ
内山清,ウチヤマ キヨシ,ウチヤマ,キヨシ
内山憲一,ウチヤマ ケンイチ,ウチヤマ,ケンイチ
内山智之,ウチヤマ トモユキ,ウチヤマ,トモユキ
内山正博,ウチヤマ マサヒロ,ウチヤマ,マサヒロ
内山雄介,ウチヤマ ユウスケ,ウチヤマ,ユウスケ
内山太嗣,ウチヤマ タイシ,ウチヤマ,タイシ
タイロン・ウッズ,ウッズ,タイロン
ローン・ウッズ,ローン・ウッズ ,ウッズ,ローン
マイク・ウッド,ウッド,マイク
内海五十雄,ウツミ イソオ,ウツミ,イソオ
内海武彦,ウツミ タケヒコ,ウツミ,タケヒコ
内海哲也,ウツミ テツヤ,ウツミ,テツヤ
宇都格,ウト イタル,ウト,イタル
有働克也（有働勝次）,ウドウ カツヤ,ウドウ カツジ,ウドウ,カツヤ,カツジ
畝龍実,ウネ タツミ,ウネ,タツミ
宇野錦次,ウノ キンジ,ウノ,キンジ
宇野輝幸,ウノ テルユキ,ウノ,テルユキ
宇野雅美,ウノ マサミ,ウノ,マサミ
宇野勝,ウノ マサル,ウノ,マサル
宇野光雄,ウノ ミツオ,ウノ,ミツオ
梅沢義勝,ウメザワ ヨシカツ,ウメザワ,ヨシカツ
梅田邦三,ウメダ クニゾウ,ウメダ,クニゾウ
梅田尚通,ウメダ ナオミチ,ウメダ,ナオミチ
梅田浩,ウメダ ヒロシ,ウメダ,ヒロシ
梅田正巳,ウメダ マサミ,ウメダ,マサミ
梅津智弘,ウメツ トモヒロ,ウメツ,トモヒロ
梅津晃大,ウメツ コウダイ,ウメツ,コウダイ
梅野慶志,ウメノ チカシ,ウメノ,チカシ
梅野隆太郎,ウメノ リュウタロウ,ウメノ,リュウタロウ
梅野雄吾,ウメノ ユウゴ,ウメノ,ユウゴ
梅原伸亮,ウメハラ ノブアキ,ウメハラ,ノブアキ
梅村学人,ウメムラ マナト,ウメムラ,マナト
梅村好彦,ウメムラ ヨシヒコ,ウメムラ,ヨシヒコ
梅本政夫,ウメモト マサオ,ウメモト,マサオ
梅本正之,ウメモト マサユキ,ウメモト,マサユキ
浦田直治,ウラタ ナオジ,ウラタ,ナオジ
浦西美治,ウラニシ ヨシハル,ウラニシ,ヨシハル
浦野博司,ウラノ ヒロシ,ウラノ,ヒロシ
瓜生秀文,ウリュウ ヒデフミ,ウリュウ,ヒデフミ
ジェイソン・ウルキデス,ウルキデス,ジェイソン
漆畑勝久,ウルシバタ カツヒサ,ウルシバタ,カツヒサ
漆原大晟,ウルシハラ タイセイ,ウルシハラ,タイセイ
漆原進,ウルシバラ ススム,ウルシバラ,ススム
サルバトーレ・ウルソー,ウルソー,サルバトーレ
ブライアン・ウルフ,ウルフ,ブライアン
ラリー・ウルフ,ウルフ,ラリー
レオナルド・ウルへエス,レオナルド・ウルヘエス,ウルヘエス,レオナルド
ノエル・ウレーニャ,ウレーニャ,ノエル
上沢直之,ウワサワ ナオユキ,ウワサワ,ナオユキ
運天ジョン・クレイトン,ウンテン ジョン クレイトン,ウンテン,ジョン クレイトン
海野尚武,ウンノ ナオタケ,ウンノ,ナオタケ
ジェリー・エイデア,ジェリー・エイデア ,エイデア,ジェリー
アンディ・エイバッド,エイバッド,アンディ
マーク・エーカー,エーカー,マーク
江頭真二,エガシラ シンジ,エガシラ,シンジ
江上重孝,エガミ シゲタカ,エガミ,シゲタカ
江柄子裕樹,エガラシ ユウキ,エガラシ,ユウキ
恵川康太郎,エガワ コウタロウ,エガワ,コウタロウ
江川卓,エガワ スグル,エガワ,スグル
江川智晃,エガワ トモアキ,エガワ,トモアキ
江草仁貴,エグサ ヒロタカ,エグサ,ヒロタカ
江口孝義,エグチ タカヨシ,エグチ,タカヨシ
江口行男,エグチ ユキオ,エグチ,ユキオ
江口亮輔,エグチ リョウスケ,エグチ,リョウスケ
江越大賀,エゴシ タイガ,エゴシ,タイガ
江坂政明,エサカ マサアキ,エサカ,マサアキ
江崎照雄,エザキ テルオ,エザキ,テルオ
江崎正義,エザキ マサヨシ,エザキ,マサヨシ
江島巧,エジマ タクミ,エジマ,タクミ
江尻亮,エジリ アキラ,エジリ,アキラ
江尻慎太郎,エジリ シンタロウ,エジリ,シンタロウ
エドウィン・エスコバー,エスコバー,エドウィン
江田幸一,エダ コウイチ,エダ,コウイチ
江田孝（江田貢一）,エダ タカシ,エダ コウイチ,エダ,タカシ,コウイチ
江田昌司,エダ マサシ,エダ,マサシ
枝村勉,エダムラ ツトム,エダムラ,ツトム
エンジェル・エチェバリア,エチェバリア,エンジェル
越後一,エチゴ ハジメ,エチゴ,ハジメ
タイラー・エップラー,エップラー,タイラー
エディ武井,エディタケイ,エディ,タケイ
江渡辰郎,エト タツオ,エト,タツオ
江藤智,エトウ アキラ,エトウ,アキラ
江藤省三,エトウ ショウゾウ,エトウ,ショウゾウ
江藤慎一（江藤愼一）,エトウ シンイチ,エトウ,シンイチ
衛藤大輔,エトウ ダイスケ,エトウ,ダイスケ
江藤晴康（江藤正）,エトウ ハルヤス,エトウ タダシ,エトウ,ハルヤス,タダシ
マイク・エドワーズ,エドワーズ,マイク
江夏豊,エナツ ユタカ,エナツ,ユタカ
榎並達郎,エナミ タツロウ,エナミ,タツロウ
榎康弘,エノキ ヤスヒロ,エノキ,ヤスヒロ
榎田健一郎,エノキダ ケンイチロウ,エノキダ,ケンイチロウ
榎田大樹,エノキダ ダイキ,エノキダ,ダイキ
榎下陽大,エノシタ ヨウダイ,エノシタ,ヨウダイ
榎本葵,エノモト アオイ,エノモト,アオイ
榎本喜八,エノモト キハチ,エノモト,キハチ
榎本茂,エノモト シゲル,エノモト,シゲル
榎本敏孝,エノモト トシタカ,エノモト,トシタカ
榎本直樹,エノモト ナオキ,エノモト,ナオキ
江幡和志,エバタ カズシ,エバタ,カズシ
榎原好,エバラ ヨシミ,エバラ,ヨシミ
トム・エバンス,エバンス,トム
ニック・エバンス,エバンス,ニック
戎信行,エビス ノブユキ,エビス,ノブユキ
海老原一佳,エビハラ カズヨシ,エビハラ,カズヨシ
江村直也,エムラ ナオヤ,エムラ,ナオヤ
江村将也,エムラ マサヤ,エムラ,マサヤ
カル・エメリー,エメリー,カル
江本晃一,エモト コウイチ,エモト,コウイチ
江本孟紀,エモト タケノリ,エモト,タケノリ
ブラッド・エルドレッド,エルドレッド,ブラッド
アンダーソン・エルナンデス,エルナンデス,アンダーソン
ナルシソ・エルビラ,エルビラ,ナルシソ
ヨスラン・エレラ,エレラ,ヨスラン
エリアン・エレラ,エレラ,エリアン
遠田誠治,エンダ セイジ,エンダ,セイジ
遠藤一星,エンドウ イッセイ,エンドウ,イッセイ
遠藤忠二郎,エンドウ チュウジロウ,エンドウ,ウウイオウ
遠藤一彦,エンドウ カズヒコ,エンドウ,カズヒコ
遠藤伸久,エンドウ ノブヒサ,エンドウ,ノブヒサ
遠藤政隆,エンドウ マサタカ,エンドウ,マサタカ
遠藤竜志,エンドウ リュウジ,エンドウ,リュウジ
遠藤良平,エンドウ リョウヘイ,エンドウ,リョウヘイ
遠藤淳志,エンドウ アツシ,エンドウ,アツシ
呉昇桓,オ スンファン,オ,スンファン
及川宣士,オイカワ ノブジ,オイカワ,ノブジ
及川美喜男,オイカワ ミキオ,オイカワ,ミキオ
王貞治,オウ サダハル,オウ,サダハル
扇原修,オウギハラ オサム,オウギハラ,オサム
大井久士,オオイ ヒサシ,オオイ,ヒサシ
大井光雄,オオイ ミツオ,オオイ,ミツオ
大石勝彦,オオイシ カツヒコ,オオイシ,カツヒコ
大石清,オオイシ キヨシ,オオイシ,キヨシ
大石滋昭,オオイシ シゲアキ,オオイシ,シゲアキ
大石大二郎（大石第二朗）,オオイシ ダイジロウ,オオイシ,ダイジロウ
大石達也,オオイシ タツヤ,オオイシ,タツヤ
大石綱,オオイシ ツナ,オオイシ,ツナ
大石知宜（大石友好）,オオイシ トモヨシ,オオイシ,トモヨシ
大石直弘,オオイシ ナオヒロ,オオイシ,ナオヒロ
大石雅昭（大石雅正）,オオイシ マサアキ,オオイシ,マサアキ
大石正彦,オオイシ マサヒコ,オオイシ,マサヒコ
大石弥太郎,オオイシ ヤタロウ,オオイシ,ヤタロウ
大内貴志,オオウチ タカシ,オオウチ,タカシ
大江弘明,オオエ ヒロアキ,オオエ,ヒロアキ
大江弘,オオエ ヒロシ,オオエ,ヒロシ
大江竜聖,オオエ リュウセイ,オオエ,リュウセイ
大岡虎雄,オオオカ トラオ,オオオカ,トラオ
大家友和,オオカ トモカズ,オオカ,トモカズ
大貝恭史（大貝宜史大貝康輔大貝恭史）,オオガイ ヤスフミ,オオガイ,ヤスフミ
大神武俊,オオガミ タケトシ,オオガミ,タケトシ
大川章,オオカワ アキラ,オオカワ,アキラ
大川隆（大川隆哉）,オオカワ タカシ,オオカワ リュウサイ,オオカワ,タカシ,リュウサイ
大川浩,オオカワ ヒロシ,オオカワ,ヒロシ
大河原栄,オオカワラ サカエ,オオカワラ,サカエ
大木勝年,オオキ カツトシ,オオキ,カツトシ
大木貴将,オオキ タカマサ,オオキ,タカマサ
大木董四郎,オオキ トウシロウ,オオキ,トウシロウ
大木護,オオキ マモル,オオキ,マモル
仰木彬,オオギ アキラ,オオギ,アキラ
大北敏博,オオキタ トシヒロ,オオキタ,トシヒロ
大久保計雄,オオクボ カズヤ,オオクボ,カズヤ
大久保勝也,オオクボ カツヤ,オオクボ,カツヤ
大久保秀昭,オオクボ ヒデアキ,オオクボ,ヒデアキ
大久保英男,オオクボ ヒデオ,オオクボ,ヒデオ
大久保弘司,オオクボ ヒロシ,オオクボ,ヒロシ
大久保博元（デーブ大久保）,オオクボ ヒロモト,オオクボ,ヒロモト
大久保勝信,オオクボ マサノブ,オオクボ,マサノブ
大久保学,オオクボ マナブ,オオクボ,マナブ
大久保美智男,オオクボ ミチオ,オオクボ,ミチオ
大窪士夢,オオクボ ジユ,オオクボ,ジユ
大熊忠義,オオクマ タダヨシ,オオクマ,タダヨシ
大熊伸行,オオクマ ノブユキ,オオクマ,ノブユキ
大倉英貴,オオクラ ヒデタカ,オオクラ,ヒデタカ
大藏彰人,オオクラ アキト,オオクラ,アキト
大越基,オオコシ モトイ,オオコシ,モトイ
大坂雅彦,オオサカ マサヒコ,オオサカ,マサヒコ
大坂谷啓生,オオサカヤ ヒロキ,オオサカヤ,ヒロキ
大崎昭夫,オオサキ アキオ,オオサキ,アキオ
大崎欣一,オオサキ キンイチ,オオサキ,キンイチ
大崎憲司,オオサキ ケンジ,オオサキ,ケンジ
大崎隆雄,オオサキ タカオ,オオサキ,タカオ
大崎三男,オオサキ ミツオ,オオサキ,ミツオ
大﨑雄太朗,オオサキ ユウタロウ,オオサキ,ユウタロウ
大迫幸一,オオサコ コウイチ,オオサコ,コウイチ
大沢紀三男,オオサワ キミオ,オオサワ,キミオ
大沢喜好,オオサワ キヨシ,オオサワ,キヨシ
大沢清（大沢伸夫）,オオサワ キヨシ,オオサワ ノブオ,オオサワ,キヨシ,ノブオ
大沢啓二（大沢昌芳）,オオサワ ケイジ,オオサワ マサヨシ,オオサワ,ケイジ,マサヨシ
大沢勉,オオサワ ツトム,オオサワ,ツトム
大下剛史,オオシタ ツヨシ,オオシタ,ツヨシ
大下弘,オオシタ ヒロシ,オオシタ,ヒロシ
大下正忠,オオシタ マサタダ,オオシタ,マサタダ
大下佑馬,オオシタ ユウマ,オオシタ,ユウマ
大島郁将,オオシマ イクマサ,オオシマ,イクマサ
大島公一,オオシマ コウイチ,オオシマ,コウイチ
大島崇行,オオシマ タカユキ,オオシマ,タカユキ
大嶋匠,オオシマ タクミ,オオシマ,タクミ
大島武,オオシマ タケシ,オオシマ,タケシ
大島忠一,オオシマ タダカズ,オオシマ,タダカズ
大島信雄,オオシマ ノブオ,オオシマ,ノブオ
大島秀晃,オオシマ ヒデアキ,オオシマ,ヒデアキ
大島裕行,オオシマ ヒロユキ,オオシマ,ヒロユキ
大島康徳,オオシマ ヤスノリ,オオシマ,ヤスノリ
大島寛,オオシマ ユタカ,オオシマ,ユタカ
大島洋平,オオシマ ヨウヘイ,オオシマ,ヨウヘイ
大島渡,オオシマ ワタル,オオシマ,ワタル
大慈彌功,オオジミ イサオ,オオジミ,イサオ
大城滉二,オオシロ コウジ,オオシロ,コウジ
大城祐二,オオシロ ユウジ,オオシロ,ユウジ
大城卓三,オオシロ タクミ,オオシロ,タクミ
大須賀允,オオスガ マコト,オオスガ,マコト
大杉勝男,オオスギ カツオ,オオスギ,カツオ
リック・オースチン,オースチン,リック
大隅正人,オオスミ マサト,オオスミ,マサト
大瀬良大地,オオセラ ダイチ,オオセラ,ダイチ
太田敦士,オオタ アツシ,オオタ,アツシ
阿斗里(大田阿斗里),アトリ,オオタ アトリ,オオタ
太田勝正,オオタ カツマサ,オオタ,カツマサ
太田清春（太田貴世晴）,オオタ キヨハル,オオタ,キヨハル
太田健一,オオタ ケンイチ,オオタ,ケンイチ
太田賢吾,オオタ ケンゴ,オオタ,ケンゴ
太田紘一,オオタ コウイチ,オオタ,コウイチ
太田幸司,オオタ コウジ,オオタ,コウジ
太田暁,オオタ サトル,オオタ,サトル
大田泰示,オオタ タイシ,オオタ,タイシ
太田貴,オオタ タカシ,オオタ,タカシ
大田卓司,オオタ タクジ,オオタ,タクジ
太田武,オオタ タケシ,オオタ,タケシ
太田龍生,オオタ タツオ,オオタ,タツオ
太田敏彦,オオタ トシヒコ,オオタ,トシヒコ
太田敏之,オオタ トシユキ,オオタ,トシユキ
太田枝雄,オオタ ハツオ,オオタ,ハツオ
太田浩喜,オオタ ヒロキ,オオタ,ヒロキ
太田文高,オオタ フミタカ,オオタ,フミタカ
太田正男,オオタ マサオ,オオタ,マサオ
太田勝,オオタ マサル,オオタ,マサル
大田勇治,オオタ ユウジ,オオタ,ユウジ
太田裕哉,オオタ ユウヤ,オオタ,ユウヤ
太田椋,オオタ リョウ,オオタ,リョウ
太田光,オオタ ヒカル,オオタ,ヒカル
大田垣喜夫,オオタガキ ヨシオ,オオタガキ,ヨシオ
大滝愛斗,オオタキ アイト,オオタキ,アイト
大滝信孝,オオタキ ノブタカ,オオタキ,ノブタカ
大滝勇佑,オオタキ ユウスケ,オオタキ,ユウスケ
太田黒誠二,オオタグロ セイジ,オオタグロ,セイジ
大竹寛,オオタケ カン,オオタケ,カン
大竹憲治,オオタケ ケンジ,オオタケ,ケンジ
大竹秀義,オオタケ ヒデヨシ,オオタケ,ヒデヨシ
大竹耕太郎,オオタケ コウタロウ,オオタケ,コウタロウ
大立恭平,オオダチ キョウヘイ,オオダチ,キョウヘイ
大館勲（大館勲夫）,オオダテ イサオ,オオダテ,イサオ
大谷翔平,オオタニ ショウヘイ,オオタニ,ショウヘイ
大谷智久,オオタニ トモヒサ,オオタニ,トモヒサ
大谷龍次,オオタニ リュウジ,オオタニ,リュウジ
大田原隆太,オオタハラ リュウタ,オオタハラ,リュウタ
大津淳,オオツ アツシ,オオツ,アツシ
大津一洋,オオツ カズヒロ,オオツ,カズヒロ
大津秀美,オオツ ヒデミ,オオツ,ヒデミ
大津守,オオツ マモル,オオツ,マモル
大塚晶則（大塚晶文）,オオツカ アキノリ,オオツカ,アキノリ
大塚明,オオツカ アキラ,オオツカ,アキラ
大塚淳弘,オオツカ アツヒロ,オオツカ,アツヒロ
大塚賢一,オオツカ ケンイチ,オオツカ,ケンイチ
大塚光二（大塚孝二）,オオツカ コウジ,オオツカ,コウジ
大塚淳,オオツカ ジュン,オオツカ,ジュン
大塚尚仁,オオツカ タカヒト,オオツカ,タカヒト
大塚健伸,オオツカ タテノブ,オオツカ,タテノブ
大塚徹,オオツカ トオル,オオツカ,トオル
大塚弥寿男,オオツカ ヤスオ,オオツカ,ヤスオ
大塚安則,オオツカ ヤスノリ,オオツカ,ヤスノリ
大塚祐司,オオツカ ユウジ,オオツカ,ユウジ
大塚豊,オオツカ ユタカ,オオツカ,ユタカ
大塚義樹,オオツカ ヨシキ,オオツカ,ヨシキ
大塚鶴雄（柳鶴震）,オオツカ ツルオ,ヤナギ ツルジ,オオツカ,ヤナギ,ツルオ,ツルジ
大辻秀夫,オオツジ ヒデオ,オオツジ,ヒデオ
大坪幸夫,オオツボ ユキオ,オオツボ,ユキオ
ホセ・オーティズ,オーティズ,ホセ
フランク・オーテンジオ（王天上）,フランク・オーテンジオ,オーテンジオ,フランク
大戸雄記,オオト ユウキ,オオト,ユウキ
大隣憲司,オオトナリ ケンジ,オオトナリ,ケンジ
大友一明,オオトモ カズアキ,オオトモ,カズアキ
大友進,オオトモ ススム,オオトモ,ススム
大友工（大友工司）,オオトモ タクミ,オオトモ コウジ,オオトモ,タクミ,コウジ
大西崇之,オオニシ タカユキ,オオニシ,タカユキ
大西忠,オオニシ タダシ,オオニシ,タダシ
大西宏明,オオニシ ヒロアキ,オオニシ,ヒロアキ
大西寛介,オオニシ ヒロスケ,オオニシ,ヒロスケ
大西正樹,オオニシ マサキ,オオニシ,マサキ
大貫賢,オオヌキ ケン,オオヌキ,ケン
大抜亮祐,オオヌキ リョウスケ,オオヌキ,リョウスケ
大貫晋一,オオヌキ シンイチ,オオヌキ,シンイチ
大沼清,オオヌマ キヨシ,オオヌマ,キヨシ
大沼幸二,オオヌマ コウジ,オオヌマ,コウジ
大根晃,オオネ アキラ,オオネ,アキラ
大野和哉,オオノ カズヤ,オオノ,カズヤ
大野奨太,オオノ ショウタ,オオノ,ショウタ
大野貴洋,オオノ タカヒロ,オオノ,タカヒロ
大野久,オオノ ヒサシ,オオノ,ヒサシ
大野文男,オオノ フミオ,オオノ,フミオ
大野守,オオノ マモル,オオノ,マモル
大野雄次,オオノ ユウジ,オオノ,ユウジ
大野雄大,オオノ ユウダイ,オオノ,ユウダイ
大野豊,オオノ ユタカ,オオノ,ユタカ
大野隆治（大野立詞）,オオノ リュウジ,オオノ,リュウジ
大野倫,オオノ リン,オオノ,リン
大庭清,オオバ キヨシ,オオバ,キヨシ
大場翔太,オオバ ショウタ,オオバ,ショウタ
大羽進,オオバ ススム,オオバ,ススム
大場隆広,オオバ タカヒロ,オオバ,タカヒロ
大場達也,オオバ タツヤ,オオバ,タツヤ
大場豊千,オオバ トヨカズ,オオバ,トヨカズ
大庭宏,オオバ ヒロシ,オオバ,ヒロシ
大橋勲,オオハシ イサオ,オオハシ,イサオ
大橋一郎（投手）,オオハシ イチロウ,オオハシ,イチロウ
大橋一郎（内野手）,オオハシ イチロウ,オオハシ,イチロウ
大橋智干,オオハシ トモヒサ,オオハシ,トモヒサ
大橋雅法,オオハシ マサノリ,オオハシ,マサノリ
大橋衛,オオハシ マモル,オオハシ,マモル
大橋棣,オオハシ ヤスシ,オオハシ,ヤスシ
大橋康延,オオハシ ヤスノブ,オオハシ,ヤスノブ
大橋穣,オオハシ ユタカ,オオハシ,ユタカ
大畑庄作,オオハタ ショウサク,オオハタ,ショウサク
大畑徹,オオハタ トオル,オオハタ,トオル
大畑裕勝,オオハタ ヒロカツ,オオハタ,ヒロカツ
大原和男,オオハラ カズオ,オオハラ,カズオ
大平茂,オオハラ シゲル,オオハラ,シゲル
大原淳也,オオハラ ジュンヤ,オオハラ,ジュンヤ
大原慎司,オオハラ シンジ,オオハラ,シンジ
大原徹也,オオハラ テツヤ,オオハラ,テツヤ
大原敏夫,オオハラ トシオ,オオハラ,トシオ
大原博志,オオハラ ヒロシ,オオハラ,ヒロシ
大原秉秀,オオハラ ヘイシュウ,オオハラ,ヘイシュウ
大引啓次,オオビキ ケイジ,オオビキ,ケイジ
大平成一,オオヒラ セイイチ,オオヒラ,セイイチ
大廣翔治,オオヒロ ショウジ,オオヒロ,ショウジ
大町定夫,オオマチ サダオ,オオマチ,サダオ
大松尚逸,オオマツ ショウイツ,オオマツ,ショウイツ
大美健二,オオミ ケンジ,オオミ,ケンジ
ケビン・オーミー,オーミー,ケビン
大道典嘉（大道典良）,オオミチ ノリヨシ,オオミチ,ノリヨシ
大嶺翔太(翔太）,ショウタ,オオミネ ショウタ,オオミネ
大嶺祐太,オオミネ ユウタ,オオミネ,ユウタ
大宮清,オオミヤ キヨシ,オオミヤ,キヨシ
大宮健資,オオミヤ ケンジ,オオミヤ,ケンジ
大宮龍男,オオミヤ タツオ,オオミヤ,タツオ
大村巌,オオムラ イワオ,オオムラ,イワオ
サブロー（大村三郎),サブロー,オオムラ サブロウ,オオムラ,サブロウ
大村慎次,オオムラ シンジ,オオムラ,シンジ
大村高史,オオムラ タカシ,オオムラ,タカシ
大村直之,オオムラ ナオユキ,オオムラ,ナオユキ
大村孟,オオムラ ハジメ,オオムラ,ハジメ
大室勝美,オオムロ カツミ,オオムロ,カツミ
大本則夫,オオモト ノリオ,オオモト,ノリオ
大本将吾,オオモト ショウゴ,オオモト,ショウゴ
大森剛,オオモリ タケシ,オオモリ,タケシ
大盛穂,オオモリ ミノル,オオモリ,ミノル
大矢明彦,オオヤ アキヒコ,オオヤ,アキヒコ
大屋克巳,オオヤ カツミ,オオヤ,カツミ
大屋好正,オオヤ ヨシマサ,オオヤ,ヨシマサ
大矢根博臣,オオヤネ ヒロオミ,オオヤネ,ヒロオミ
大山暁史,オオヤマ サトシ,オオヤマ,サトシ
大山貴広,オオヤマ タカヒロ,オオヤマ,タカヒロ
大山悠輔,オオヤマ ユウスケ,オオヤマ,ユウスケ
大累進,オオルイ ススム,オオルイ,ススム
ロス・オーレンドルフ,オーレンドルフ,ロス
大脇浩二,オオワキ コウジ,オオワキ,コウジ
大脇照夫,オオワキ テルオ,オオワキ,テルオ
大和田明,オオワダ アキラ,オオワダ,アキラ
大和田正海,オオワダ マサミ,オオワダ,マサミ
岡大海,オカ ヒロミ,オカ,ヒロミ
岡正光,オカ マサミツ,オカ,マサミツ
岡幸俊,オカ ユキトシ,オカ,ユキトシ
岡義朗,オカ ヨシアキ,オカ,ヨシアキ
岡上和典,オカガミ カズノリ,オカガミ,カズノリ
岡崎郁,オカザキ カオル,オカザキ,カオル
岡崎太一,オカザキ タイチ,オカザキ,タイチ
岡崎恒人,オカザキ ツネト,オカザキ,ツネト
岡崎大輔,オカザキ ダイスケ,オカザキ,ダイスケ
小笠原慎之介,オガサワラ シンノスケ,オガサワラ,シンノスケ
小笠原孝,オガサワラ タカシ,オガサワラ,タカシ
小笠原道大,オガサワラ ミチヒロ,オガサワラ,ミチヒロ
岡持和彦,オカジ カズヒコ,オカジ,カズヒコ
岡島厚,オカジマ アツシ,オカジマ,アツシ
岡島豪郎,オカジマ タケロウ,オカジマ,タケロウ
岡島秀樹,オカジマ ヒデキ,オカジマ,ヒデキ
岡嶋博治,オカジマ ヒロジ,オカジマ,ヒロジ
岡田明丈,オカダ アキタケ,オカダ,アキタケ
岡田彰布,オカダ アキノブ,オカダ,アキノブ
岡田功,オカダ イサオ,オカダ,イサオ
岡田源三郎,オカダ ゲンザブロウ,オカダ,ゲンザブロウ
T-岡田（岡田貴弘）,ティーオカダ,オカダ タカヒロ,オカダ,タカヒロ
岡田忠弘,オカダ タダヒロ,オカダ,タダヒロ
岡田俊哉,オカダ トシヤ,オカダ,トシヤ
岡田展和,オカダ ヒロカズ,オカダ,ヒロカズ
岡田福吉,オカダ フクヨシ,オカダ,フクヨシ
岡田雅利,オカダ マサトシ,オカダ,マサトシ
岡田光雄,オカダ ミツオ,オカダ,ミツオ
岡田稔,オカダ ミノル,オカダ,ミノル
岡田宗芳,オカダ ムネヨシ,オカダ,ムネヨシ
岡田守雄,オカダ モリオ,オカダ,モリオ
岡田幸喜,オカダ ユキヨシ,オカダ,ユキヨシ
岡田豊,オカダ ユタカ,オカダ,ユタカ
岡田幸文,オカダ ヨシフミ,オカダ,ヨシフミ
緒方修,オガタ オサム,オガタ,オサム
緒方孝市,オガタ コウイチ,オガタ,コウイチ
緒方耕一,オガタ コウイチ,オガタ,コウイチ
緒方俊明,オガタ トシアキ,オガタ,トシアキ
小形利文,オガタ トシフミ,オガタ,トシフミ
緒方勝,オガタ マサル,オガタ,マサル
尾形佳紀,オガタ ヨシノリ,オガタ,ヨシノリ
緒方凌介,オガタ リョウスケ,オガタ,リョウスケ
尾形崇斗,オガタ シュウト,オガタ,シュウト
