Black cheeked waxbill,ブラックシークトゥウクビクル
Ornate rock dragon,オーネイトゥロックドゥラゴン
Blue fox,ブルーフォックス
Mocking cliffchat,モッキングクリフックトゥ
Common green iguana,コモングリーンイグアナ
Great kiskadee,グレイトゥキッスケイドゥ
Blue waxbill,ブルーウクビクル
Red sheep,レッドゥシープ
Southern black backed gull,サザンブラックバックトゥガル
Superb starling,サパーブスターリング
Yellow mongoose,イェローモンゴス
Greater roadrunner,グレイターロドゥナーラン
Bird,バードゥ
Water moccasin,ウォーターモカシン
Mongoose,モンゴス
Glider,グライダー
Malagasy ground boa,マラガシイグラウンドゥボウ
Arctic tern,アークティックターン
Sunbird,サンバイドゥ
Polar bear,ポウラーベアー
Slender loris,スレンダロリス
Peacock,ピーココ
Hedgehog,ヘッジホッグ
Jackal,ジャッカル
Aardwolf,アードウルフ
Wallaby,ワラビー
Barrows goldeneye,ブイロウスゴウルディネイ
Red phalarope,レッドゥファラポー
Woodcock,ッッドゥキック
Gila monster,ジラモンスター
Bison,バイソン
Sheep,シープ
Zebra,ゼブラ
Heron,ヘロン
Gray duiker,グレイデューカー
Kudu,クードゥー
White necked raven,ホワイトゥネックトゥレイブン
Sandhill crane,サンデリイルクレイン
White fronted capuchin,ホワイトゥフロンティドゥコグイーインチ
Bustard,バスタードゥ
Cormorant,コーモラントゥ
Dabchick,ダッチビック
Black crowned crane,ブラッククラウンドゥクレイン
Nine banded armadillo,ナインバンディドゥマーディノウル
Kookaburra,クーカバーラ
Eurasian red squirrel,ユーレイジャンレッドゥスクワーレル
Lapwing,ラッピング
Black crowned night heron,ブラッククラウンドゥナイトゥヘロン
Stick insect,スティックインセクトゥ
Barbet,バーブットゥ
Brown antechinus,ブラウンアンシーニシュ
Spotted wood sandpiper,スポッティドゥウッドゥサンドゥピアー
Sungazer,シナジャー
Hawk headed parrot,ホークヘッディドゥパロットゥ
Blue crane,ブルークレイン
Jungle kangaroo,ジャングルカンガルー
Francolin,フランショーン
Dove,ダブ
Cattle egret,キャトゥルイーグレトゥ
Lizard,リザードゥ
Amazon parrot,メイズンパロットゥ
Ground legaan,グラウンドゥリガーン
African lion,アフリカンライオン
Helmeted guinea fowl,ヘルメティドゥギニーファウル
Squirrel,スクワーレル
Wapiti,ワピティー
White winged tern,ホワイトゥリングドゥターン
Rhinoceros,ライノサラス
Brown capuchin,ブラウンコグイーインチ
Frog,フロッグ
Bush dog,ブッシュドッグ
Small toothed palm civet,スモールトゥーストゥパームシビートゥ
Blesbok,エブブレック
Chuckwalla,ハックワイルア
Black bear,ブラックベアー
Eastern diamondback rattlesnake,イースタンダイヤンドンクラトゥルートナス
White throated monitor,ホワイトゥスロウティドゥモニター
Booby,ブーバイ
Boa,ボウ
Brindled gnu,ブリンドゥルドゥグヌ
Mountain lion,マウンテンライオン
Olive baboon,オリーブバブーン
Chital,サイタル
Meerkat,メレクター
Burmese black mountain tortoise,バーミースブラックマウンテントータス
Springbuck,スプリングエックシイ
Flightless cormorant,フライツゥルエスコーモラントゥ
Leopard,レパードゥ
Black capped chickadee,ブラックキャップトゥチケディイ
African buffalo,アフリカンバッファロー
Australian sea lion,オーストゥレイリアンシーライオン
Agama lizard,カガマリザードゥ
Wolf spider,ウルフスパイダー
Grey heron,グレイヘロン
Red shouldered glossy starling,レッドゥショルダードゥグロシイスターリング
Sage hen,セイジヘン
Blue footed booby,ブルーフッティドゥブーバイ
Lily trotter,リリートゥロッター
Tawny eagle,トーニーイーグル
Blackbuck,ブルバック
Feral rock pigeon,フィアラルロックピジョン
Puma,ピューマ
Falcon,フォルカン
Sulfur crested cockatoo,サルファークレスティドゥコッカトー
Thrasher,スラッシャー
Blue duck,ブルーダック
Brush tailed phascogale,ブラッシュテイドゥファスカグル
Macaque,マカク
Moorhen,モーリン
Four striped grass mouse,フォーストゥライプトゥグラスマウス
Grison,グライソン
Capybara,パシーバーア
Crake,クライク
Southern elephant seal,サザンエレファントゥシール
Common eland,コモンイランドゥ
Steenbok,ステネック
Wallaroo,ウォーロウ
Dunnart,デュナントゥ
Elegant crested tinamou,エレガントゥクレスティドゥティニア
Purple moorhen,パープルモーリン
Common rhea,コモンリー
Eastern grey kangaroo,イースタングレイカンガルー
White faced tree rat,ホワイトゥフェイストゥトゥリーラットゥ
Black eyed bulbul,ブラックエイドゥバルビュール
Horned puffin,ホーンドゥパフィン
Red deer,レッドゥディアー
Woolly necked stork,ウーリーネックトゥストーク
Curlew,カール
African porcupine,アフリカンポーキュパイン
Brown lemur,ブラウンリーマー
Western pygmy possum,ウェスタンピグミーポッサム
Pig tailed macaque,ピッグテイドゥマカク
Fox,フォックス
Giraffe,ジラーフ
Mexican wolf,メキシカンウルフ
Western spotted skunk,ウェスタンスポッティドゥスカンク
Hartebeest,ハーティエストゥ
Llama,ラーマ
White tailed jackrabbit,ホワイトゥテイドゥジャクラブディック
Indian mynah,インディアンマイナ
Pale white eye,ペイルホワイトゥアイ
Little grebe,リトゥルグリーブ
Raven,レイブン
Brocket,エブロケットゥ
Scaly breasted lorikeet,スケイリーブレスティドゥロリケイトゥ
Mara,マラ
Euro wallaby,ユーロウワラビー
Red tailed cockatoo,レッドゥテイドゥコッカトー
Ringtail,リングショル
Roadrunner,ロドゥナーラン
Russian dragonfly,ラッシアンドゥラグノフリー
Caracara,カラカー
Puku,ピューキュー
Boat billed heron,ボウトゥビレドゥヘロン
Honey badger,ハニーバジャー
Pine squirrel,パインスクワーレル
Short nosed bandicoot,ショートゥノウストゥバンディクート
Gerbil,ジャービル
Steenbuck,ステネブルク
Yellow baboon,イェローバブーン
Common seal,コモンシール
Long necked turtle,ロングネックトゥタートゥル
Desert tortoise,デザートゥトータス
Columbian rainbow boa,コロンビアンレインボウボウ
Ring tailed lemur,リングテイドゥリーマー
Blue shark,ブルーシャーク
Violet eared waxbill,バイオレットゥアーエドゥウクビクル
Azara's zorro,ザサラザーロウ
Ox,オックス
Hummingbird,ハミッグネドゥ
Nile crocodile,ナイルクロコダイル
African clawless otter,アフリカンクローレスオッター
Tiger snake,タイガースネイク
Dark winged trumpeter,ダークリングドゥトゥランペッター
Jaeger,ジャガー
Hen,ヘン
Lesser mouse lemur,レサーマウスリーマー
Legaan,リガーン
Gulls,ガルズ
Common raccoon,コモンラクーン
Crane,クレイン
Golden brush tailed possum,ゴウルデンブラッシュテイドゥポッサム
Platypus,プラティパス
White rhinoceros,ホワイトゥライノサラス
Secretary bird,セクレタリーバードゥ
White winged black tern,ホワイトゥリングドゥブラックターン
Grant's gazelle,グランツガゼル
Lourie,ルーリー
South African hedgehog,サウスアフリカンヘッジホッグ
Blue wildebeest,ブルーウィルデストゥ
Currasow,カラス
Topi,トピー
Snow goose,スノウグース
European badger,ユーロピアンバジャー
Phalarope,ファラポー
Blue peacock,ブルーピーココ
Iguana,イグアナ
Snowy sheathbill,スノウイーシャブリュー
White throated toucan,ホワイトゥスロウティドゥトゥーカン
Crowned hawk eagle,クラウンドゥホークイーグル
Devil,デビル
Common pheasant,コモンフェザントゥ
Darter,ダーター
Common dolphin,コモンドルフィン
Laughing dove,ラフィングダブ
Cow,カウ
Red breasted cockatoo,レッドゥブレスティドゥコッカトー
White stork,ホワイトゥストーク
Caribou,カリブー
Kinkajou,キンコアージャ
Miner's cat,マイングズキャットゥ
Potoroo,パトルー
Yellow bellied marmot,イェローベリイドゥマーモットゥ
Giant anteater,ジャイアントゥアントイーター
Common turkey,コモンターキー
Cormorant,コーモラントゥ
Phascogale,ファスカグル
Richardson's ground squirrel,リチャードゥソングラウンドゥスクワーレル
Trumpeter,トゥランペッター
Turkey,ターキー
Boar,ボー
Duck,ダック
Common wallaroo,コモンウォーロウ
Long tailed jaeger,ロングテイドゥジャガー
Paca,パカー
Bulbul,バルビュール
Marine iguana,マリーンイグアナ
Four horned antelope,フォーホーンドゥアンテロウプ
Galapagos dove,ガラパゴスダブ
Blue faced booby,ブルーフェイストゥブーバイ
Tasmanian devil,タズメイニアンデビル
Yellow crowned night heron,イェロークラウンドゥナイトゥヘロン
Alligator,アリゲイター
Lorikeet,ロリケイトゥ
Drongo,ドゥロンゴウ
Chacma baboon,カスマバブーン
Glossy starling,グロシイスターリング
Southern right whale,サザンライトゥホエイル
Spotted tailed quoll,スポッティドゥテイドゥクオル
Starfish,スターリフス
Western lowland gorilla,ウェスタンローランドゥゴリラ
Silver backed jackal,シルバーバックトゥジャッカル
Indian porcupine,インディアンポーキュパイン
Coot,クートゥ
Gorilla,ゴリラ
Jacana,ジャカン
Northern elephant seal,ノーザンエレファントゥシール
Gray rhea,グレイリー
Horned rattlesnake,ホーンドゥラトゥルートナス
Swan,スワン
Black footed ferret,ブラックフッティドゥフェレトゥ
Bottle nose dolphin,ボトゥルノウズドルフィン
Pigeon,ピジョン
Blue and gold macaw,ブルーアンドゥゴウルドゥマカー
Arctic ground squirrel,アークティックグラウンドゥスクワーレル
Black tailed prairie dog,ブラックテイドゥプレイリードッグ
Spurfowl,スパフィゥロウル
Woodchuck,ウッドゥカック
Wattled crane,ワットゥルドゥクレイン
Arctic fox,アークティックフォックス
Screamer,スクリーマー
California sea lion,カリフォルニアシーライオン
Bear,ベアー
Brazilian tapir,ブラジリアンテイパー
Eurasian badger,ユーレイジャンバジャー
Parrot,パロットゥ
Bonnet macaque,ボンネットゥマカク
Komodo dragon,コモドドゥラゴン
Red winged hawk,レッドゥリングドゥホーク
Monitor lizard,モニターリザードゥ
Tamandua,タマンダ
Cougar,クーガー
Asian lion,エイジアンライオン
Anaconda,アナコンダ
Long nosed bandicoot,ロングノウストゥバンディクート
Malay squirrel,マレイスクワーレル
Crowned eagle,クラウンドゥイーグル
Reedbuck,リデックブック
Wildebeest,ウィルデストゥ
Moccasin,モカシン
Yellow necked spurfowl,イェローネックトゥスパフィゥロウル
Mynah,マイナ
Asian false vampire bat,エイジアンフォールスバンパイアーバットゥ
Magpie,マッピイ
Goose,グース
Cat,キャットゥ
Impala,インパラ
Orca,オーカ
Frilled dragon,フリリドゥドゥラゴン
Grenadier,グレナディア
African jacana,アフリカンジャカン
Monkey,モンキー
Clark's nutcracker,クラックスカントゥラキュアー
Palm squirrel,パームスクワーレル
Creeper,クリーパー
Mexican boa,メキシカンボウ
Prairie falcon,プレイリーフォルカン
North American porcupine,ノースアメリカンポーキュパイン
Admiral,アドゥミラル
Southern hairy nosed wombat,サザンヘアリーノウストゥウォンバットゥ
Small Indian mongoose,スモールインディアンモンゴス
Western bearded dragon,ウェスタンビアーディドゥドゥラゴン
White winged dove,ホワイトゥリングドゥダブ
Black necked stork,ブラックネックトゥストーク
King cormorant,キングコーモラントゥ
Avocet,オーボケトゥ
Darwin ground finch,ダーウイングラウンドゥフィンチ
Musk ox,マスクオックス
Indian jackal,インディアンジャッカル
Raccoon,ラクーン
African red eyed bulbul,アフリカンレッドゥエイドゥバルビュール
Tortoise,トータス
Silver gull,シルバーガル
Green winged trumpeter,グリーンリングドゥトゥランペッター
Mexican beaded lizard,メキシカンビーディドゥリザードゥ
Sugar glider,シュガーグライダー
